gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowRight,goalAssistOpenplay,attOboxTarget,attMissHighRight,midfielderGoals,freekickCross,goodHighClaim,interceptionsInBox,bigChanceCreated,attMissHighLeft,goalAssist,accurateThroughBall,accurateFreekickCross,bigChanceMissed,attObxdLeft,attRfGoal,totalPullBack,totalThroughBall,goalsOpenplay,attAssistSetplay,goalAssistIntentional,attHdTotal,foulThrowIn,attHdMiss,attBxLeft,totalHighClaim,effectiveBlockedCross,blockedCross,attLfTarget,postScoringAtt,attSvLowCentre,attIboxPost,attOneOnOne,crosses18yardplus,contentiousDecision,attHdPost,hitWoodwork,attSvLowRight,attFreekickTarget,attSvHighCentre,attPostRight,accurateCornersIntobox,handBall,bigChanceScored,attGoalHighRight,goalsConceded,goalsConcededIbox,goalAssistSetplay,goalAssistDeadball,attLfGoal,accuratePullBack,penaltyWon,attGoalHighCentre,defenderGoals,attPenGoal,attGoalHighLeft,punches,clearanceOffLine,attPostLeft,attCmissHigh,attCmissLeft,forwardGoals,attGoalLowCentre,shotFastbreak,totalFastbreak,attFastbreak,attSvHighLeft,attCmissHighLeft,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,shieldBallOop,attHdGoal,attPostHigh,attOboxGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attHdTarget,goalsConcededObox,errorLeadToGoal,attSvHighRight,goalFastbreak,attCmissHighRight,attGoalLowLeft,ownGoals,attIboxOwnGoal,attFreekickGoal,secondYellow
1,803169,2015-08-08 12:45:00,"Old Trafford, Manchester",75261,Home,Manchester United,Tottenham Hotspur,1,0,W,1,0,0,0,74.0,1.0,2.0,37.0,30.0,4.0,4.0,4.0,1.0,156.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,102.0,143.0,43.0,2.0,9.0,2.0,11.0,1.0,1.0,2.0,1.0,10.0,19.0,24.0,1.0,14.0,34.0,203.0,1.0,0.0,144.0,12.0,1.0,1.0,87.0,71.0,3.0,97.0,1.0,9.0,19.0,2.0,2.0,137.0,8.0,132.0,675.0,5.0,7.0,19.0,389.0,22.0,6.0,16.0,2.0,2.0,3.0,2.0,25.0,467.0,65.0,1.0,59846,4.0,199.0,9.0,1.0,1.0,224.0,8.0,19.0,4.0,55.0,1.0,6.0,7.0,1.0,1.0,2.0,78.0,401.0,12.0,6.0,28.0,81.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,50.0,19.0,6.0,6.0,4.0,45.0,1.0,487.0,19.0,1.0,19.0,20.0,4.0,17.0,2.0,273.0,5.0,13.0,8.0,106.0,36.0,15.0,21.0,6.0,3.0,9.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803177,2015-08-14 19:45:00,"Villa Park, Birmingham",42200,Away,Manchester United,Aston Villa,1,0,W,1,0,0,0,68.0,,1.0,37.0,37.0,3.0,,1.0,1.0,164.0,1.0,5.0,1.0,3.0,8.0,1.0,2.0,145.0,134.0,54.0,1.0,9.0,2.0,12.0,,,1.0,,8.0,15.0,31.0,3.0,22.0,22.0,235.0,1.0,0.0,144.0,10.0,,1.0,95.0,54.0,5.0,90.0,1.0,5.0,12.0,1.0,1.0,128.0,4.0,135.0,728.0,6.0,6.0,21.0,436.0,12.0,6.0,19.0,1.0,2.0,1.0,3.0,18.0,507.0,62.0,1.0,59846,2.0,224.0,4.0,,1.0,241.0,7.0,12.0,4.0,55.0,3.0,7.0,13.0,1.0,3.0,1.0,70.0,458.0,13.0,12.0,29.0,70.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,54.4,13.0,3.0,7.0,3.0,43.0,5.0,534.0,21.0,1.0,15.0,12.0,4.0,22.0,3.0,301.0,7.0,22.0,12.0,106.0,41.0,18.0,24.0,6.0,3.0,12.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803187,2015-08-22 12:45:00,"Old Trafford, Manchester",75354,Home,Manchester United,Newcastle United,0,0,D,0,0,0,0,63.0,,3.0,34.0,22.0,11.0,9.0,,4.0,179.0,8.0,14.0,,3.0,15.0,,8.0,180.0,137.0,54.0,2.0,20.0,6.0,14.0,3.0,2.0,,,38.0,11.0,19.0,10.0,23.0,27.0,393.0,1.0,0.0,251.0,15.0,,1.0,106.0,111.0,12.0,99.0,1.0,28.0,17.0,2.0,,134.0,5.0,179.0,858.0,14.0,4.0,15.0,553.0,25.0,1.0,14.0,,2.0,3.0,3.0,20.0,618.0,84.0,,59846,5.0,182.0,17.0,,,191.0,8.0,17.0,4.0,58.0,4.0,4.0,6.0,2.0,2.0,1.0,51.0,567.0,11.0,10.0,6.0,65.0,0.0,3.0,5.0,,,1.0,0.0,5.0,69.3,19.0,4.0,4.0,9.0,52.0,11.0,637.0,15.0,,13.0,18.0,3.0,53.0,2.0,484.0,10.0,23.0,13.0,205.0,27.0,12.0,17.0,17.0,3.0,21.0,11.0,11.0,,,5.0,,,,2.0,,,,,1.0,,1.0,,,,4.0,,1.0,,1.0,,,2.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,11.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803196,2015-08-30 16:00:00,"Swansea.com Stadium, Swansea",20828,Away,Manchester United,Swansea City,1,2,L,0,0,0,0,77.0,2.0,,44.0,20.0,4.0,4.0,2.0,2.0,194.0,7.0,9.0,1.0,3.0,10.0,2.0,4.0,163.0,162.0,58.0,1.0,11.0,1.0,17.0,2.0,,,2.0,22.0,12.0,16.0,1.0,26.0,33.0,302.0,,0.0,190.0,15.0,,,115.0,81.0,4.0,127.0,2.0,21.0,18.0,1.0,2.0,158.0,4.0,173.0,830.0,9.0,8.0,18.0,530.0,24.0,9.0,11.0,,2.0,1.0,6.0,17.0,639.0,77.0,1.0,59846,4.0,247.0,11.0,,,280.0,6.0,18.0,5.0,52.0,1.0,7.0,11.0,5.0,2.0,,85.0,542.0,6.0,7.0,35.0,93.0,0.0,1.0,,,1.0,4.0,0.0,6.0,64.5,17.0,4.0,7.0,1.0,61.0,1.0,657.0,18.0,,9.0,17.0,6.0,41.0,4.0,399.0,5.0,22.0,28.0,142.0,38.0,9.0,15.0,10.0,3.0,14.0,7.0,1.0,,1.0,1.0,,1.0,,2.0,,1.0,2.0,1.0,3.0,,,,1.0,,4.0,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,,,1.0,,2.0,,,10.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803205,2015-09-12 17:30:00,"Old Trafford, Manchester",75347,Home,Manchester United,Liverpool,3,1,W,0,0,0,0,69.0,,,41.0,25.0,6.0,2.0,2.0,,164.0,3.0,6.0,3.0,4.0,6.0,,3.0,143.0,153.0,48.0,1.0,9.0,3.0,21.0,,,,,17.0,18.0,24.0,2.0,20.0,36.0,263.0,,0.0,160.0,6.0,2.0,,118.0,65.0,4.0,99.0,1.0,16.0,24.0,1.0,3.0,152.0,6.0,153.0,775.0,4.0,3.0,27.0,455.0,24.0,4.0,14.0,,1.0,1.0,2.0,27.0,537.0,83.0,,59846,3.0,210.0,8.0,,2.0,229.0,3.0,24.0,5.0,59.0,2.0,1.0,18.0,2.0,2.0,2.0,81.0,470.0,11.0,10.0,25.0,73.0,0.0,3.0,4.0,3.0,3.0,1.0,0.0,3.0,55.7,24.0,4.0,1.0,3.0,41.0,4.0,559.0,27.0,1.0,20.0,21.0,3.0,25.0,,347.0,7.0,20.0,8.0,115.0,37.0,14.0,23.0,5.0,3.0,9.0,11.0,4.0,1.0,1.0,,,1.0,1.0,,2.0,1.0,,2.0,1.0,,,,2.0,1.0,3.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,7.0,,,,,,,,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803216,2015-09-20 16:00:00,"St. Mary's Stadium, Southampton",31588,Away,Manchester United,Southampton,3,2,W,1,1,0,0,59.0,2.0,1.0,48.0,31.0,4.0,3.0,6.0,,163.0,1.0,6.0,3.0,2.0,4.0,,3.0,147.0,134.0,42.0,2.0,10.0,1.0,17.0,,,,1.0,8.0,10.0,24.0,1.0,14.0,21.0,251.0,,0.0,117.0,13.0,4.0,,107.0,80.0,1.0,112.0,,7.0,15.0,2.0,3.0,127.0,11.0,153.0,742.0,4.0,7.0,14.0,477.0,21.0,7.0,15.0,,0.0,1.0,3.0,20.0,549.0,59.0,,59846,6.0,245.0,4.0,,,260.0,9.0,15.0,10.0,61.0,3.0,2.0,9.0,4.0,6.0,2.0,87.0,495.0,6.0,11.0,32.0,107.0,0.0,1.0,5.0,4.0,3.0,1.0,0.0,1.0,59.2,14.0,3.0,2.0,2.0,63.0,5.0,575.0,14.0,1.0,14.0,11.0,5.0,15.0,1.0,323.0,6.0,14.0,15.0,89.0,25.0,14.0,15.0,7.0,3.0,13.0,6.0,5.0,3.0,,,1.0,1.0,,1.0,,1.0,,,,,1.0,,2.0,1.0,,3.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,3.0,,,1.0,,,,,,,3.0,,2.0,2.0,,,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,803230,2015-09-26 15:00:00,"Old Trafford, Manchester",75328,Home,Manchester United,Sunderland,3,0,W,1,0,0,0,74.0,,1.0,44.0,15.0,6.0,5.0,4.0,3.0,188.0,7.0,11.0,3.0,4.0,8.0,,7.0,161.0,132.0,51.0,2.0,12.0,3.0,11.0,1.0,,2.0,,20.0,17.0,14.0,5.0,21.0,35.0,278.0,1.0,0.0,189.0,12.0,,1.0,88.0,99.0,7.0,94.0,,15.0,7.0,2.0,,131.0,5.0,161.0,782.0,6.0,7.0,13.0,508.0,25.0,2.0,8.0,2.0,0.0,3.0,1.0,18.0,586.0,72.0,,76359,4.0,254.0,12.0,,1.0,268.0,5.0,7.0,2.0,53.0,,4.0,11.0,4.0,1.0,1.0,66.0,525.0,15.0,9.0,10.0,81.0,0.0,3.0,2.0,4.0,3.0,2.0,0.0,5.0,66.2,16.0,7.0,4.0,4.0,60.0,5.0,604.0,13.0,,18.0,24.0,1.0,34.0,1.0,356.0,6.0,19.0,8.0,139.0,37.0,8.0,18.0,9.0,3.0,16.0,,5.0,,2.0,3.0,,3.0,1.0,,,3.0,,2.0,1.0,,1.0,,2.0,1.0,3.0,3.0,,2.0,1.0,,1.0,,,,,1.0,,2.0,,1.0,2.0,,,,,1.0,1.0,,2.0,,3.0,1.0,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,803234,2015-10-04 16:00:00,"Emirates Stadium, London",60084,Away,Manchester United,Arsenal,0,3,L,0,3,0,0,69.0,,,28.0,5.0,7.0,3.0,2.0,4.0,184.0,5.0,12.0,,,8.0,,5.0,170.0,143.0,53.0,,9.0,1.0,12.0,2.0,,,1.0,24.0,20.0,5.0,3.0,14.0,42.0,344.0,,0.0,233.0,17.0,,,100.0,84.0,6.0,90.0,,21.0,20.0,,3.0,143.0,9.0,188.0,797.0,8.0,5.0,6.0,526.0,14.0,,2.0,,3.0,2.0,2.0,18.0,605.0,81.0,,76359,2.0,209.0,9.0,,,223.0,9.0,20.0,9.0,74.0,3.0,5.0,6.0,3.0,5.0,,58.0,548.0,8.0,16.0,5.0,76.0,0.0,2.0,3.0,2.0,,4.0,0.0,5.0,62.2,18.0,10.0,5.0,1.0,53.0,6.0,632.0,6.0,,18.0,14.0,3.0,38.0,,433.0,6.0,14.0,11.0,174.0,39.0,2.0,22.0,8.0,3.0,23.0,8.0,6.0,,,3.0,1.0,,,,2.0,2.0,1.0,,,,2.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,2.0,,,12.0,,,,1.0,,1.0,,,,,,3.0,3.0,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,803247,2015-10-17 15:00:00,"Goodison Park, Liverpool",39553,Away,Manchester United,Everton,3,0,W,2,0,0,0,60.0,1.0,1.0,28.0,25.0,3.0,1.0,3.0,3.0,165.0,3.0,12.0,3.0,1.0,9.0,,7.0,124.0,138.0,58.0,,10.0,,15.0,3.0,2.0,1.0,1.0,13.0,11.0,17.0,1.0,17.0,27.0,239.0,1.0,0.0,153.0,14.0,3.0,,90.0,79.0,8.0,101.0,1.0,13.0,22.0,,2.0,130.0,7.0,134.0,728.0,6.0,4.0,16.0,431.0,33.0,4.0,11.0,1.0,2.0,3.0,1.0,20.0,503.0,59.0,,76359,4.0,212.0,9.0,,,233.0,6.0,22.0,5.0,66.0,1.0,3.0,12.0,5.0,3.0,,59.0,448.0,12.0,13.0,25.0,75.0,0.0,2.0,5.0,2.0,3.0,2.0,0.0,3.0,52.8,16.0,1.0,3.0,1.0,43.0,3.0,524.0,16.0,,12.0,19.0,2.0,24.0,,304.0,8.0,15.0,11.0,124.0,22.0,10.0,23.0,8.0,3.0,25.0,12.0,3.0,3.0,2.0,1.0,,2.0,1.0,,4.0,4.0,,3.0,,,1.0,,2.0,1.0,,2.0,,3.0,1.0,,,,,3.0,3.0,1.0,,1.0,,1.0,3.0,,,,2.0,,1.0,,1.0,,3.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,7.0,3.0,24.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10,803255,2015-10-25 14:05:00,"Old Trafford, Manchester",75329,Home,Manchester United,Manchester City,0,0,D,0,0,0,0,59.0,1.0,1.0,46.0,24.0,2.0,2.0,1.0,1.0,176.0,2.0,13.0,,6.0,5.0,1.0,1.0,134.0,170.0,67.0,,6.0,2.0,15.0,1.0,,,,22.0,14.0,17.0,4.0,13.0,35.0,240.0,1.0,0.0,150.0,17.0,,,102.0,84.0,3.0,81.0,1.0,18.0,20.0,,,163.0,3.0,152.0,746.0,4.0,7.0,14.0,429.0,21.0,7.0,14.0,,2.0,3.0,2.0,28.0,525.0,79.0,,76359,4.0,208.0,7.0,,1.0,227.0,8.0,20.0,6.0,66.0,,2.0,12.0,3.0,5.0,,74.0,446.0,13.0,8.0,22.0,88.0,0.0,2.0,4.0,,,3.0,0.0,,58.7,24.0,4.0,2.0,3.0,54.0,6.0,543.0,14.0,,16.0,22.0,2.0,33.0,1.0,338.0,3.0,12.0,23.0,97.0,31.0,10.0,19.0,3.0,3.0,25.0,9.0,6.0,,,,,,4.0,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,,2.0,2.0,,1.0,,1.0,,7.0,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
