gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attRfTarget,fouledFinalThird,attOboxBlocked,attMissHighRight,midfielderGoals,freekickCross,attOboxMiss,attBxLeft,blockedScoringAtt,attIboxBlocked,attBxRight,attHdTarget,sixYardBlock,attSetpiece,clearanceOffLine,goalsConcededObox,contentiousDecision,hitWoodwork,errorLeadToShot,punches,goalsConceded,goalsConcededIbox,attGoalLowLeft,accuratePullBack,attMissRight,penaltyConceded,totalPullBack,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attCmissRight,attFreekickTotal,freekickTotal,foulThrowIn,postScoringAtt,attOboxPost,attPostHigh,errorLeadToGoal,attGoalLowRight,attLfGoal,attGoalLowCentre,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,penaltySave,attCmissHigh,attFreekickMiss,attOboxGoal,secondYellow,accurateFreekickCross,attMissHighLeft,goalAssistSetplay,attObpGoal,attOneOnOne,penaltyWon,attSvHighLeft,attPenGoal,attIboxPost,ptsGainedLosingPos,attHdPost,attFreekickTarget,goalAssistDeadball,attSvHighRight,attPostLeft,attObxdLeft,ownGoals,attIboxOwnGoal
1,918896,2017-08-12 15:00:00,"Selhurst Park, London",25448,Away,Huddersfield Town,Crystal Palace,3,0,W,2,0,0,0,4.0,1.0,57.0,1.0,26.0,29.0,3.0,4.0,6.0,4.0,151.0,3.0,5.0,3.0,6.0,6.0,47.0,158.0,56.0,9.0,18.0,1.0,2.0,2.0,1.0,2.0,14.0,19.0,1.0,3.0,29.0,6.0,5.0,35.0,118.0,1.0,0.0,130.0,19.0,2.0,1.0,2.0,63.0,51.0,4.0,48.0,1.0,8.0,20.0,3.0,1.0,158.0,2.0,10.0,60.0,500.0,2.0,15.0,16.0,9.0,181.0,19.0,5.0,15.0,2.0,2.0,3.0,3.0,2.0,30.0,276.0,67.0,1.0,87856,4.0,84.0,1.0,7.0,111.0,14.0,1.0,20.0,10.0,79.0,1.0,2.0,4.0,2.0,7.0,4.0,5.0,1.0,63.0,199.0,7.0,18.0,2.0,21.0,73.0,1.0,1.0,1.0,0.0,1.0,12.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0,2.0,43.3,24.0,1.0,3.0,1.0,4.0,29.0,9.0,2.0,306.0,9.0,18.0,14.0,3.0,21.0,2.0,3.0,209.0,3.0,5.0,16.0,69.0,21.0,2.0,3.0,15.0,28.0,1.0,7.0,3.0,11.0,3.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918905,2017-08-20 13:30:00,"John Smith's Stadium, Huddersfield",24128,Home,Huddersfield Town,Newcastle United,1,0,W,0,0,0,0,1.0,,62.0,2.0,31.0,29.0,4.0,3.0,3.0,5.0,154.0,1.0,5.0,1.0,3.0,3.0,110.0,164.0,62.0,7.0,12.0,,2.0,1.0,,1.0,20.0,13.0,1.0,2.0,29.0,5.0,9.0,32.0,141.0,1.0,0.0,114.0,13.0,3.0,1.0,,58.0,66.0,2.0,76.0,2.0,15.0,30.0,4.0,5.0,164.0,,9.0,116.0,674.0,2.0,11.0,11.0,18.0,334.0,18.0,9.0,14.0,1.0,2.0,3.0,5.0,1.0,23.0,431.0,46.0,,87856,1.0,213.0,,9.0,238.0,8.0,1.0,30.0,4.0,50.0,1.0,4.0,2.0,1.0,13.0,4.0,3.0,1.0,69.0,353.0,10.0,9.0,,31.0,81.0,,,,0.0,3.0,3.0,3.0,1.0,3.0,0.0,,1.0,,,52.7,19.0,,6.0,1.0,2.0,39.0,7.0,,456.0,18.0,7.0,16.0,3.0,25.0,1.0,2.0,238.0,4.0,7.0,24.0,67.0,29.0,,2.0,14.0,24.0,,6.0,3.0,16.0,2.0,15.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918916,2017-08-26 15:00:00,"John Smith's Stadium, Huddersfield",23548,Home,Huddersfield Town,Southampton,0,0,D,0,0,0,0,3.0,,72.0,1.0,26.0,19.0,4.0,4.0,12.0,2.0,164.0,7.0,8.0,,14.0,6.0,70.0,173.0,59.0,16.0,18.0,5.0,,,5.0,1.0,32.0,14.0,,1.0,19.0,4.0,10.0,41.0,168.0,1.0,0.0,168.0,10.0,1.0,1.0,1.0,68.0,97.0,10.0,71.0,1.0,28.0,18.0,4.0,11.0,173.0,1.0,3.0,73.0,581.0,13.0,12.0,20.0,11.0,249.0,24.0,10.0,9.0,,,0.0,1.0,4.0,27.0,355.0,78.0,,87856,9.0,104.0,2.0,14.0,124.0,5.0,,18.0,10.0,52.0,,,6.0,,15.0,3.0,7.0,2.0,66.0,265.0,10.0,9.0,1.0,35.0,63.0,,,1.0,0.0,1.0,4.0,2.0,,5.0,0.0,6.0,,,4.0,44.7,24.0,2.0,5.0,,6.0,26.0,5.0,1.0,378.0,11.0,12.0,22.0,4.0,35.0,1.0,3.0,286.0,8.0,8.0,25.0,103.0,35.0,,3.0,9.0,17.0,,13.0,3.0,12.0,3.0,8.0,5.0,,1.0,3.0,2.0,1.0,,3.0,1.0,,6.0,4.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918932,2017-09-11 20:00:00,"London Stadium, London",56977,Away,Huddersfield Town,West Ham United,0,2,L,0,0,0,0,1.0,,54.0,1.0,16.0,44.0,6.0,5.0,4.0,2.0,155.0,3.0,8.0,,9.0,2.0,97.0,154.0,64.0,10.0,34.0,,2.0,,1.0,,19.0,14.0,,2.0,44.0,2.0,8.0,26.0,138.0,,0.0,86.0,14.0,1.0,,,58.0,57.0,8.0,62.0,,17.0,23.0,6.0,8.0,154.0,,10.0,112.0,636.0,8.0,11.0,8.0,2.0,312.0,25.0,3.0,29.0,,2.0,2.0,6.0,1.0,20.0,400.0,32.0,,87856,3.0,195.0,,8.0,222.0,6.0,,23.0,11.0,71.0,,1.0,4.0,,16.0,9.0,6.0,1.0,59.0,330.0,11.0,4.0,1.0,28.0,74.0,,1.0,,0.0,,10.0,,,3.0,0.0,1.0,,,,56.5,17.0,,3.0,,5.0,35.0,3.0,1.0,426.0,2.0,18.0,9.0,1.0,18.0,2.0,,223.0,4.0,8.0,26.0,52.0,19.0,,5.0,29.0,19.0,,8.0,3.0,11.0,5.0,8.0,3.0,2.0,1.0,,3.0,,,1.0,1.0,,7.0,4.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918936,2017-09-16 15:00:00,"John Smith's Stadium, Huddersfield",24169,Home,Huddersfield Town,Leicester City,1,1,D,0,0,0,0,,,62.0,,41.0,31.0,8.0,6.0,7.0,,185.0,10.0,8.0,1.0,10.0,3.0,112.0,165.0,54.0,15.0,27.0,2.0,1.0,1.0,1.0,3.0,38.0,11.0,,,31.0,7.0,9.0,40.0,210.0,,0.0,170.0,6.0,,,,95.0,105.0,7.0,88.0,,31.0,24.0,8.0,14.0,165.0,,7.0,101.0,701.0,9.0,11.0,21.0,10.0,371.0,16.0,14.0,16.0,1.0,2.0,1.0,5.0,3.0,33.0,469.0,70.0,,87856,6.0,183.0,,17.0,206.0,5.0,1.0,24.0,7.0,54.0,,3.0,3.0,1.0,16.0,3.0,3.0,,81.0,383.0,6.0,13.0,,34.0,78.0,,,2.0,0.0,1.0,4.0,,1.0,4.0,0.0,10.0,,,1.0,59.8,27.0,,10.0,1.0,3.0,42.0,8.0,,486.0,10.0,6.0,18.0,6.0,41.0,,1.0,318.0,6.0,9.0,24.0,114.0,31.0,1.0,,16.0,16.0,,13.0,3.0,10.0,,8.0,8.0,,1.0,,3.0,,,,5.0,1.0,6.0,3.0,,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918945,2017-09-23 15:00:00,"Turf Moor, Burnley",20759,Away,Huddersfield Town,Burnley,0,0,D,0,0,0,0,,,71.0,2.0,31.0,35.0,7.0,1.0,2.0,3.0,178.0,2.0,6.0,,6.0,2.0,82.0,153.0,61.0,9.0,26.0,1.0,,,,1.0,18.0,21.0,,1.0,35.0,2.0,9.0,29.0,133.0,1.0,0.0,94.0,14.0,,,2.0,58.0,73.0,2.0,70.0,1.0,16.0,18.0,7.0,10.0,153.0,,1.0,87.0,632.0,5.0,21.0,4.0,17.0,305.0,34.0,15.0,21.0,,,2.0,1.0,4.0,31.0,394.0,60.0,,87856,1.0,185.0,,4.0,213.0,6.0,,18.0,5.0,60.0,,3.0,3.0,,12.0,3.0,2.0,1.0,77.0,316.0,9.0,7.0,1.0,45.0,78.0,,2.0,,0.0,1.0,3.0,,,7.0,0.0,2.0,,1.0,1.0,48.0,27.0,1.0,,,3.0,33.0,4.0,2.0,417.0,17.0,10.0,18.0,5.0,25.0,,1.0,222.0,7.0,7.0,22.0,58.0,29.0,,,21.0,25.0,,6.0,3.0,11.0,,7.0,4.0,,2.0,3.0,2.0,2.0,,2.0,4.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918957,2017-09-30 12:30:00,"John Smith's Stadium, Huddersfield",24169,Home,Huddersfield Town,Tottenham Hotspur,0,4,L,0,3,0,0,1.0,,67.0,,32.0,25.0,4.0,2.0,2.0,3.0,148.0,,5.0,,3.0,1.0,71.0,161.0,44.0,6.0,14.0,,,,1.0,1.0,23.0,16.0,,1.0,25.0,3.0,11.0,34.0,114.0,,0.0,107.0,7.0,1.0,,,65.0,63.0,2.0,70.0,1.0,20.0,26.0,4.0,3.0,161.0,,10.0,79.0,579.0,3.0,7.0,10.0,21.0,257.0,27.0,9.0,9.0,,,1.0,2.0,1.0,31.0,348.0,52.0,,87428,1.0,155.0,,16.0,176.0,6.0,,26.0,7.0,48.0,1.0,4.0,3.0,,15.0,4.0,5.0,,71.0,269.0,3.0,12.0,,30.0,68.0,,,,0.0,,7.0,3.0,,,0.0,,,,,40.5,27.0,,8.0,,3.0,31.0,4.0,1.0,368.0,21.0,7.0,15.0,2.0,30.0,,,215.0,4.0,9.0,11.0,56.0,26.0,,3.0,9.0,25.0,,6.0,3.0,14.0,3.0,11.0,4.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,3.0,2.0,,,,,,1.0,,1.0,1.0,,4.0,3.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,918970,2017-10-14 15:00:00,"Liberty Stadium, Swansea",20657,Away,Huddersfield Town,Swansea City,0,2,L,0,1,0,0,,,56.0,,35.0,16.0,3.0,1.0,4.0,1.0,182.0,2.0,12.0,,6.0,2.0,131.0,137.0,52.0,7.0,20.0,1.0,,,,,20.0,12.0,,1.0,16.0,3.0,11.0,36.0,169.0,,0.0,104.0,16.0,1.0,2.0,2.0,63.0,41.0,5.0,99.0,,17.0,16.0,3.0,4.0,137.0,1.0,5.0,127.0,712.0,6.0,8.0,15.0,8.0,440.0,30.0,8.0,4.0,,,5.0,1.0,1.0,18.0,517.0,44.0,,87428,2.0,291.0,1.0,11.0,322.0,11.0,,16.0,5.0,53.0,,,5.0,,21.0,2.0,5.0,1.0,66.0,458.0,11.0,3.0,,23.0,76.0,,,,0.0,,5.0,1.0,,4.0,0.0,2.0,,,,59.8,16.0,,3.0,,5.0,46.0,3.0,2.0,539.0,8.0,12.0,20.0,1.0,22.0,,1.0,237.0,6.0,11.0,13.0,76.0,15.0,,2.0,4.0,16.0,,7.0,3.0,15.0,2.0,4.0,3.0,,2.0,4.0,2.0,,,2.0,,2.0,4.0,2.0,,,,,,,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,918975,2017-10-21 15:00:00,"John Smith's Stadium, Huddersfield",24169,Home,Huddersfield Town,Manchester United,2,1,W,2,0,0,0,1.0,2.0,61.0,,13.0,49.0,1.0,4.0,4.0,2.0,115.0,2.0,11.0,2.0,3.0,3.0,34.0,138.0,64.0,5.0,15.0,1.0,,1.0,1.0,,9.0,20.0,,,49.0,3.0,4.0,19.0,65.0,,0.0,81.0,10.0,1.0,,,27.0,57.0,3.0,24.0,,6.0,16.0,1.0,2.0,138.0,1.0,6.0,37.0,423.0,2.0,6.0,17.0,13.0,105.0,31.0,4.0,18.0,1.0,,4.0,3.0,,13.0,177.0,44.0,,87428,4.0,53.0,,1.0,69.0,7.0,,16.0,10.0,51.0,1.0,2.0,1.0,2.0,16.0,3.0,3.0,,53.0,116.0,12.0,13.0,,18.0,62.0,,,,0.0,3.0,7.0,2.0,2.0,1.0,0.0,1.0,,,,22.1,10.0,,3.0,,1.0,19.0,4.0,1.0,210.0,13.0,10.0,5.0,,17.0,1.0,,150.0,1.0,3.0,15.0,35.0,18.0,1.0,4.0,18.0,27.0,,4.0,3.0,14.0,4.0,10.0,4.0,,,3.0,1.0,,1.0,3.0,,,2.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,3.0,,,,,,,,,,,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10,918989,2017-10-28 15:00:00,"Anfield, Liverpool",53268,Away,Huddersfield Town,Liverpool,0,3,L,0,0,0,0,,,62.0,1.0,23.0,27.0,1.0,1.0,,5.0,135.0,,7.0,,1.0,,39.0,147.0,37.0,1.0,14.0,,1.0,,,,6.0,10.0,,,27.0,2.0,2.0,23.0,69.0,,0.0,78.0,8.0,3.0,,1.0,33.0,54.0,,45.0,5.0,4.0,16.0,1.0,1.0,147.0,,12.0,61.0,452.0,1.0,15.0,3.0,24.0,152.0,34.0,5.0,13.0,,1.0,1.0,2.0,1.0,27.0,248.0,54.0,,87428,,105.0,,2.0,132.0,4.0,,16.0,10.0,44.0,,1.0,2.0,,12.0,4.0,7.0,1.0,70.0,174.0,8.0,8.0,,34.0,82.0,,,,0.0,1.0,9.0,4.0,,3.0,0.0,,,,,26.6,20.0,,1.0,,2.0,36.0,2.0,1.0,280.0,24.0,11.0,9.0,1.0,13.0,,,154.0,,,10.0,29.0,14.0,,1.0,13.0,13.0,,,3.0,10.0,1.0,8.0,2.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,3.0,3.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
